timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-08-12 00:30:00+05:30,29376.2,29416.65,29350.67,29396.76,538.62086,2023-08-12 01:29:59.999000+05:30,15826115.4095445,16325.0,263.72188,7749220.3295017,0
2023-08-12 01:30:00+05:30,29396.76,29429.0,29396.76,29420.22,320.47106,2023-08-12 02:29:59.999000+05:30,9424810.8589755,11491.0,161.18882,4740398.1898365,0
2023-08-12 02:30:00+05:30,29420.22,29444.73,29405.19,29410.05,351.52081,2023-08-12 03:29:59.999000+05:30,10342908.5936543,12277.0,149.97013,4412648.335918,0
2023-08-12 03:30:00+05:30,29410.04,29439.69,29404.39,29434.56,284.76462,2023-08-12 04:29:59.999000+05:30,8378733.814942,11746.0,138.10203,4063592.8385374,0
2023-08-12 04:30:00+05:30,29434.57,29440.0,29405.99,29426.03,241.13552,2023-08-12 05:29:59.999000+05:30,7094980.4966669,9607.0,117.49476,3456967.2998411,0
2023-08-12 05:30:00+05:30,29426.02,29454.75,29406.26,29454.73,323.32863,2023-08-12 06:29:59.999000+05:30,9515312.3704396,12295.0,169.02666,4974783.2021026,0
2023-08-12 06:30:00+05:30,29454.72,29460.73,29400.64,29405.25,449.4476,2023-08-12 07:29:59.999000+05:30,13225780.7124761,12656.0,160.54389,4723912.7704091,0
2023-08-12 07:30:00+05:30,29405.24,29414.67,29391.45,29391.46,337.96411,2023-08-12 08:29:59.999000+05:30,9938903.4805254,10866.0,139.35636,4098266.5517433,0
2023-08-12 08:30:00+05:30,29391.46,29405.0,29381.56,29402.07,470.55386,2023-08-12 09:29:59.999000+05:30,13830008.5989942,12083.0,210.33539,6182077.9970567,0
2023-08-12 09:30:00+05:30,29402.06,29425.96,29402.06,29418.23,387.27548,2023-08-12 10:29:59.999000+05:30,11392314.3644371,11876.0,211.62208,6224958.321856,0
2023-08-12 10:30:00+05:30,29418.22,29419.1,29405.34,29405.34,316.42799,2023-08-12 11:29:59.999000+05:30,9307435.4156139,9208.0,120.49445,3544206.3385622,0
2023-08-12 11:30:00+05:30,29405.34,29416.87,29384.82,29416.86,523.93067,2023-08-12 12:29:59.999000+05:30,15399926.0742833,12753.0,216.28397,6357488.4266245,0
2023-08-12 12:30:00+05:30,29416.86,29426.68,29401.46,29421.49,483.88187,2023-08-12 13:29:59.999000+05:30,14233886.1523056,13336.0,245.91302,7233692.6185677,0
2023-08-12 13:30:00+05:30,29421.48,29426.54,29390.57,29392.99,727.65813,2023-08-12 14:29:59.999000+05:30,21399941.6110106,15589.0,334.52976,9838596.187909,0
2023-08-12 14:30:00+05:30,29392.99,29419.61,29392.98,29417.61,524.58179,2023-08-12 15:29:59.999000+05:30,15428201.3503982,16713.0,275.10665,8090811.7238383,0
2023-08-12 15:30:00+05:30,29417.6,29434.35,29417.59,29434.35,609.05488,2023-08-12 16:29:59.999000+05:30,17921995.0465153,17334.0,356.12027,10479017.6123181,0
2023-08-12 16:30:00+05:30,29434.35,29434.35,29415.6,29429.85,328.51094,2023-08-12 17:29:59.999000+05:30,9666129.3782036,15409.0,145.58977,4283847.0343034,0
2023-08-12 17:30:00+05:30,29429.85,29429.85,29415.55,29428.8,265.56397,2023-08-12 18:29:59.999000+05:30,7813951.6189872,13715.0,100.9594,2970460.9315724,0
2023-08-12 18:30:00+05:30,29428.8,29428.8,29408.28,29408.8,389.4348,2023-08-12 19:29:59.999000+05:30,11457420.9942914,12469.0,159.2127,4684064.0574582,0
2023-08-12 19:30:00+05:30,29408.81,29450.0,29408.8,29449.98,406.48731,2023-08-12 20:29:59.999000+05:30,11963729.6737901,14963.0,230.78529,6792355.0702844,0
2023-08-12 20:30:00+05:30,29449.99,29458.1,29438.81,29438.81,328.85686,2023-08-12 21:29:59.999000+05:30,9684487.35256,14735.0,156.43495,4606839.7897333,0
2023-08-12 21:30:00+05:30,29438.81,29481.35,29438.81,29456.74,443.62077,2023-08-12 22:29:59.999000+05:30,13071156.5290145,16126.0,223.46691,6584086.8593644,0
2023-08-12 22:30:00+05:30,29456.75,29457.56,29430.11,29430.11,289.40083,2023-08-12 23:29:59.999000+05:30,8522693.4836554,12487.0,114.32951,3367095.0200542,0
